maxord,nonlin_conv_coef,max_conv_fails,fixedpointvecs,eta_cf,eta_max_fx,eta_min_fx,eta_max_gs,eta_min,eta_min_ef,runtime
5,0.469373,27,16,0.50763,15.922889,1.328521,15.704778,0.167899,0.291117,248.566081
1,0.503581,7,4,0.708462,18.375933,17.801331,3.99774,0.014889,0.561738,272.772087
2,0.438134,20,16,0.231793,9.604036,3.320422,15.983496,0.020914,0.203731,255.672232
3,0.26274,18,12,0.716179,19.030021,8.890849,0.959055,0.265361,0.552146,269.96054
3,0.069724,23,6,0.558056,4.399888,0.9793,0.576686,0.653489,0.430238,100000000.0
2,0.593427,19,10,0.273137,7.610753,5.609519,16.991259,0.580652,0.434214,273.831573
4,0.616653,8,14,0.306038,15.878124,3.724601,13.053185,0.187794,0.244568,251.402473
4,0.396198,28,1,0.188482,19.944777,19.357741,19.5064,0.57326,0.696325,234.328397
3,0.151276,30,11,0.690575,10.882361,4.502554,18.171833,0.69414,0.109274,250.171193
2,0.012447,36,11,0.840196,10.229805,1.902545,8.117748,0.563958,0.772229,274.975347
5,0.600662,16,5,0.244368,17.079795,9.683086,15.493724,0.355488,0.889786,274.722675
4,0.775217,44,9,0.313684,17.901924,12.111574,11.64508,0.320961,0.445913,267.427361
1,0.67555,6,16,0.770729,10.104114,4.006385,9.486058,0.181737,0.219654,264.911931
3,0.728842,31,15,0.496266,19.499545,2.480927,0.528562,0.871694,0.678712,267.245561
2,0.043325,12,8,0.369851,13.587945,13.421724,8.268684,0.105485,0.721151,248.748341
3,0.668242,35,3,0.86645,18.470953,5.311429,12.098273,0.530363,0.221779,244.340445
3,0.143313,36,17,0.302041,15.222827,14.286352,18.653589,0.839203,0.699641,281.334241
3,0.21506,7,2,0.453229,12.191018,4.538624,10.13617,0.339104,0.849804,271.485437
1,0.267665,30,9,0.778021,19.567055,19.039798,19.147206,0.934753,0.763352,251.439883
5,0.801007,38,6,0.887575,13.635944,10.258947,8.720251,0.099181,0.144303,268.002703
4,0.523096,42,4,0.126413,17.657007,8.245065,12.543192,0.322659,0.674836,280.445279
3,0.849851,40,20,0.336724,19.776328,5.732113,7.756024,0.637315,0.899381,284.855898
5,0.358544,43,12,0.074753,5.574938,0.51835,11.139077,0.057229,0.523277,301.459279
1,0.869337,6,9,0.160093,17.186293,16.757026,16.928015,0.987851,0.099383,283.325747
1,0.500736,17,12,0.294413,16.469744,2.766757,18.870129,0.616722,0.194626,243.538409
2,0.469381,14,13,0.225392,5.359252,0.773598,4.296136,0.155068,0.416547,100000000.0
2,0.474802,17,10,0.090176,12.569455,1.06931,15.87201,0.650362,0.161086,253.68438
1,0.127047,17,5,0.800009,8.872629,7.904758,3.025337,0.834244,0.332096,260.604978
1,0.378535,18,2,0.458871,19.302294,1.823114,11.218435,0.428543,0.646629,260.024617
4,0.68413,26,16,0.360773,14.759865,6.242668,4.996991,0.433667,0.267843,271.936724
